Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,TotalScore,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,2.9678926,0.24959175,0.0,999.0,-0.22433293528027004,-0.22433293528027004,1.0
20000,2.952685,0.24076232,0.0,999.0,-2.61339949965477,-2.61339949965477,1.0
30000,2.9574509,0.19416383,0.0,999.0,-0.013199764490127563,-0.013199764490127563,1.0
40000,2.925482,0.19141701,0.0,999.0,1.1485002934932709,1.1485002934932709,1.0
50000,2.9641829,0.19628124,0.0,999.0,1.483900600671768,1.483900600671768,1.0
60000,2.939467,0.18439431,0.0,999.0,-1.0893999278545379,-1.0893999278545379,1.0
70000,2.9650044,0.17264363,0.0,999.0,2.7305004000663757,2.7305004000663757,1.0
80000,2.9657028,0.17858517,0.0,999.0,-0.565699577331543,-0.565699577331543,1.0
90000,2.9656234,0.18400678,0.0,999.0,4.999000310897827,4.999000310897827,1.0
100000,2.9772148,0.20903333,0.0,999.0,2.277900290489197,2.277900290489197,1.0
110000,2.963214,0.21111126,0.0,999.0,1.611300492286682,1.611300492286682,1.0
120000,2.9737115,0.22314544,0.0,999.0,3.6721003651618958,3.6721003651618958,1.0
130000,2.9655192,0.22707453,0.0,999.0,0.8050003051757812,0.8050003051757812,1.0
140000,2.9577675,0.22876564,0.0,999.0,0.1932004451751709,0.1932004451751709,1.0
150000,2.9517648,0.21811529,0.0,999.0,-2.3948996722698213,-2.3948996722698213,1.0
160000,2.945078,0.20625353,0.0,999.0,-0.30489962697029116,-0.30489962697029116,1.0
170000,2.9456618,0.19904806,0.0,999.0,1.5217004358768462,1.5217004358768462,1.0
180000,2.9534564,0.19543992,0.0,999.0,4.999000310897827,4.999000310897827,1.0
190000,2.9284456,0.20086357,0.0,999.0,2.2350004255771636,2.2350004255771636,1.0
200000,2.9500384,0.22420211,0.0,999.0,0.8193002045154572,0.8193002045154572,1.0
210000,2.9297414,0.21721001,0.0,999.0,-0.06169963479042053,-0.06169963479042053,1.0
220000,2.9149604,0.21161799,0.0,999.0,0.25420028567314146,0.25420028567314146,1.0
230000,2.9409842,0.19798285,0.0,999.0,2.940200483798981,2.940200483798981,1.0
240000,2.8970256,0.17206292,0.0,999.0,-3.6971994638442993,-3.6971994638442993,1.0
250000,2.9507382,0.16683297,0.0,999.0,0.5977002441883087,0.5977002441883087,1.0
260000,2.9213262,0.13871178,0.0,999.0,-0.8895995557308197,-0.8895995557308197,1.0
270000,2.92965,0.15281864,0.0,999.0,-2.4100995898246764,-2.4100995898246764,1.0
280000,2.9613283,0.15809426,0.0,999.0,3.90410031080246,3.90410031080246,1.0
290000,2.9897585,0.17691132,0.0,999.0,0.029000228643417357,0.029000228643417357,1.0
300000,2.9717875,0.16485551,0.0,999.0,0.048500293493270875,0.048500293493270875,1.0
310000,2.986798,0.18124124,0.0,999.0,-0.3820995628833771,-0.3820995628833771,1.0
320000,2.9829452,0.16157176,0.0,999.0,1.4300004184246062,1.4300004184246062,1.0
330000,2.9988704,0.1623686,0.0,999.0,-2.599099373817444,-2.599099373817444,1.0
340000,3.005496,0.12198691,0.0,999.0,-0.3193995773792267,-0.3193995773792267,1.0
350000,3.002691,0.11354754,0.0,999.0,-2.402299773693085,-2.402299773693085,1.0
360000,2.9888456,0.12940884,0.0,999.0,4.999000310897827,4.999000310897827,1.0
370000,2.984361,0.12416182,0.0,999.0,-3.8550998330116273,-3.8550998330116273,1.0
380000,2.9857392,0.122295044,0.0,999.0,3.939200294017792,3.939200294017792,1.0
390000,2.9855182,0.10552446,0.0,999.0,-4.238499712944031,-4.238499712944031,1.0
